,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
16,1674,https://recalls-rappels.canada.ca/en/alert-recall/pan-asia-fresh-brand-sushi-products-recalled-due-pieces-metal,Pan Asia Fresh brand sushi products recalled due to pieces of metal,"Pan Asia Fresh brand sushi products recalled due to pieces of metal      
       
  
                        
             
Starting date:
December 19, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2016-12-19,Extraneous Material,Retail,Bento Nouveau Ltd.,Ontario,Class 2
17,1675,https://recalls-rappels.canada.ca/en/alert-recall/tate-lyle-brand-107-sorbet-stabilizer-recalled-due-undeclared-milk,Tate & Lyle brand 107 Sorbet Stabilizer recalled due to undeclared milk,"Tate & Lyle brand 107 Sorbet Stabilizer recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 19, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2016-12-19,Allergen - Milk,Hotel/Restaurant/Institutional,Continental Ingredients Canada Inc.,"Alberta, Quebec",Class 1
18,1677,https://recalls-rappels.canada.ca/en/alert-recall/president-s-choice-brand-smoked-atlantic-salmon-sold-valu-mart-applewood-recalled-due,President’s Choice brand Smoked Atlantic Salmon sold at Valu-mart - Applewood recalled due to potential presence of dangerous bacteria,"President’s Choice brand Smoked Atlantic Salmon sold at Valu-mart - Applewood recalled due to potential presence of dangerous bacteria      
       
  
                        
             
Starting date:
December 16, 2016
Type of…",2016-12-16,Microbiological - Clostridium botulinum,Retail,Loblaw Companies Limited,Ontario,Class 1
19,1678,https://recalls-rappels.canada.ca/en/alert-recall/al-jazira-brand-deglet-nour-dates-recalled-due-insect-infestation,Al Jazira brand Deglet Nour Dates recalled due to insect infestation,"Al Jazira brand Deglet Nour Dates recalled due to insect infestation      
       
  
                        
             
Starting date:
December 16, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2016-12-16,Extraneous Material,Retail,Pak National Foods,Ontario,Class 3
20,1679,https://recalls-rappels.canada.ca/en/alert-recall/mccain-brand-and-gordon-food-service-brand-potato-products-recalled-due-pieces-plastic,McCain brand and Gordon Food Service brand potato products recalled due to pieces of plastic,"McCain brand and Gordon Food Service brand potato products recalled due to pieces of plastic      
       
  
                        
             
Starting date:
December 16, 2016
Type of communication:
Recall
Alert sub-type:…",2016-12-16,Extraneous Material,Hotel/Restaurant/Institutional,McCain Foods (Canada),"Prince Edward Island, New Brunswick, Nova Scotia, Ontario, Quebec, Newfoundland and Labrador",Class 3
21,1680,https://recalls-rappels.canada.ca/en/alert-recall/ready-eat-ajinomoto-brand-yakitori-chicken-japanese-style-fried-rice-recalled-due,Ready-to-eat Ajinomoto brand Yakitori Chicken with Japanese-Style Fried Rice recalled due to possibly undercooked chicken,"Ready-to-eat Ajinomoto brand Yakitori Chicken with Japanese-Style Fried Rice recalled due to possibly undercooked chicken      
       
  
                        
             
Starting date:
December 16, 2016
Type of…",2016-12-16,"Microbiological - Other, Nutrition",Retail,Costco Wholesale Canada Ltd.,"Alberta, British Columbia, Manitoba, Saskatchewan",Class 2
22,1681,https://recalls-rappels.canada.ca/en/alert-recall/food-recall-warning-duncan-hines-brand-apple-caramel-cake-mix-recalled-due-salmonella,Food Recall Warning Duncan Hines brand Apple Caramel Cake Mix recalled due to Salmonella,"Food Recall Warning Duncan Hines brand Apple Caramel Cake Mix recalled due to Salmonella      
       
  
                        
             
Starting date:
December 14, 2016
Type of communication:
Recall
Alert sub-type:
Food…",2016-12-14,Microbiological - Salmonella,Retail,Pinnacle Foods Canada Corporation,National,Class 2
23,1683,https://recalls-rappels.canada.ca/en/alert-recall/jenny-craig-brand-kettle-corn-recalled,Jenny Craig brand Kettle Corn recalled,"Jenny Craig brand Kettle Corn recalled      
       
  
                        
             
Starting date:
December 12, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Chemical
Hazard classification…",2016-12-12,Chemical,Retail,Jenny Craig,"Alberta, British Columbia, Manitoba, Ontario, Quebec",Class 2
24,1684,https://recalls-rappels.canada.ca/en/alert-recall/selection-brand-rainbow-sorbet-recalled-due-undeclared-milk,Selection brand Rainbow Sorbet recalled due to undeclared milk,"Selection brand Rainbow Sorbet recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 9, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2016-12-09,Allergen - Milk,Retail,Metro Inc.,"Ontario, Quebec",Class 1
25,1685,https://recalls-rappels.canada.ca/en/alert-recall/qone-brand-stuffed-pancake-mix-recalled-due-undeclared-milk,Q.One brand Stuffed Pancake Mix recalled due to undeclared milk,"Q.One brand Stuffed Pancake Mix recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 9, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2016-12-09,Allergen - Milk,Retail,Pan Asia Food Co. Ltd.,"Manitoba, Ontario, Quebec",Class 2
26,1686,https://recalls-rappels.canada.ca/en/alert-recall/bikaji-brand-plain-boondi-recalled-due-undeclared-gluten,Bikaji brand Plain Boondi recalled due to undeclared gluten,"Bikaji brand Plain Boondi recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 8, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2016-12-08,Allergen - Gluten,Retail,Verka Food International Ltd.,National,Class 2
27,1687,https://recalls-rappels.canada.ca/en/alert-recall/everything-nice-brand-homestyle-noodle-soup-and-maple-baked-beans-recalled-due,Everything Nice brand Homestyle Noodle Soup and Maple Baked Beans recalled due to undeclared wheat and mustard,"Everything Nice brand Homestyle Noodle Soup and Maple Baked Beans recalled due to undeclared wheat and mustard      
       
  
                        
             
Starting date:
December 8, 2016
Type of communication:
Recall…",2016-12-08,"Allergen - Gluten, Allergen - Mustard, Allergen - Wheat",Retail,Everything Nice,Ontario,Class 2
28,1688,https://recalls-rappels.canada.ca/en/alert-recall/bustan-brand-halawa-tahini-pistachio-recalled-due-salmonella,Bustan brand Halawa of Tahini Pistachio recalled due to Salmonella,"Bustan brand Halawa of Tahini Pistachio recalled due to Salmonella      
       
  
                        
             
Starting date:
December 7, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2016-12-07,Microbiological - Salmonella,Retail,Dijla & Al-Forat Market,Ontario,Class 2
29,1689,https://recalls-rappels.canada.ca/en/alert-recall/sobaya-brand-spelt-soba-spelt-and-buckwheat-pasta-recalled-due-presence-insects,Sobaya brand Spelt Soba - Spelt and Buckwheat Pasta recalled due to presence of insects,"Sobaya brand Spelt Soba - Spelt and Buckwheat Pasta recalled due to presence of insects      
       
  
                        
             
Starting date:
December 7, 2016
Type of communication:
Recall
Alert sub-type:…",2016-12-07,Extraneous Material,Retail,Koyo Foods Inc.,Quebec,Class 3
30,1690,https://recalls-rappels.canada.ca/en/alert-recall/trader-joe-s-brand-mediterranean-hummus-recalled-due-listeria-monocytogenes,Trader Joe's brand Mediterranean Hummus recalled due to Listeria monocytogenes,"Trader Joe's brand Mediterranean Hummus recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 2, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-12-02,Microbiological - Listeria,Retail,Transilvania Trading,British Columbia,Class 1
31,1691,https://recalls-rappels.canada.ca/en/alert-recall/farm-boy-brand-fig-walnut-spread-dip-recalled-due-pieces-plastic,Farm Boy brand Fig & Walnut Spread & Dip recalled due to pieces of plastic,"Farm Boy brand Fig & Walnut Spread & Dip recalled due to pieces of plastic      
       
  
                        
             
Starting date:
December 1, 2016
Type of communication:
Recall
Alert sub-type:
Notification…",2016-12-01,Extraneous Material,Retail,Delisse Fine Cuisine,Ontario,Class 3
32,1692,https://recalls-rappels.canada.ca/en/alert-recall/fish-ball-products-recalled-sin-kong-international-enterprises-ltd-due-undeclared-egg,Fish ball products recalled by Sin-Kong International Enterprises Ltd. due to undeclared egg,"Fish ball products recalled by Sin-Kong International Enterprises Ltd. due to undeclared egg      
       
  
                        
             
Starting date:
December 1, 2016
Type of communication:
Recall
Alert sub-type:
Food…",2016-12-01,Allergen - Egg,11058,British Columbia,"Hotel/Restaurant/Institutional, Retail",Class 2
33,1693,https://recalls-rappels.canada.ca/en/alert-recall/qone-brand-mixed-powder-churros-recalled-due-undeclared-milk,Q.One brand Mixed Powder for Churros recalled due to undeclared milk,"Q.One brand Mixed Powder for Churros recalled due to undeclared milk      
       
  
                        
             
Starting date:
November 29, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2016-11-29,Allergen - Milk,Retail,Seoul Trading Corporation,"Alberta, British Columbia, Manitoba",Class 2
34,1694,https://recalls-rappels.canada.ca/en/alert-recall/coconut-town-brand-coconut-cream-powder-recalled-due-undeclared-milk,Coconut Town brand Coconut Cream Powder recalled due to undeclared milk,"Coconut Town brand Coconut Cream Powder recalled due to undeclared milk      
       
  
                        
             
Starting date:
November 29, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2016-11-29,Allergen - Milk,Retail,Can Roxy Trading Inc.,"Ontario, Quebec",Class 2
35,1695,https://recalls-rappels.canada.ca/en/alert-recall/compliments-brand-broccoli-slaw-recalled-due-listeria-monocytogenes,Compliments brand Broccoli Slaw recalled due to Listeria monocytogenes,"Compliments brand Broccoli Slaw recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
November 28, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2016-11-28,Microbiological - Listeria,Retail,Sobeys Inc.,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan",Class 1
36,1696,https://recalls-rappels.canada.ca/en/alert-recall/eden-organic-pasta-company-brand-and-sobaya-brand-pasta-products-recalled-due-presence,Eden Organic Pasta Company brand and Sobaya brand pasta products recalled due to presence of insects,"Eden Organic Pasta Company brand and Sobaya brand pasta products recalled due to presence of insects      
       
  
                        
             
Starting date:
November 25, 2016
Type of communication:
Recall
Alert sub-…",2016-11-25,Extraneous Material,Retail,Koyo Foods Inc.,Quebec,Class 3
37,1697,https://recalls-rappels.canada.ca/en/alert-recall/qone-brand-wheat-flour-mixes-recalled-due-undeclared-milk-and-sesame-seeds,Q.One brand Wheat Flour Mixes recalled due to undeclared milk and sesame seeds,"Q.One brand Wheat Flour Mixes recalled due to undeclared milk and sesame seeds      
       
  
                        
             
Starting date:
November 25, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-11-25,"Allergen - Milk, Allergen - Sesame Seeds",Retail,T-Brothers Food And Trading Ltd.,"Alberta, British Columbia",Class 2
38,1698,https://recalls-rappels.canada.ca/en/alert-recall/qone-brand-stuffed-honey-pancake-mix-recalled-due-undeclared-peanuts,Q.One brand Stuffed Honey Pancake Mix recalled due to undeclared peanuts,"Q.One brand Stuffed Honey Pancake Mix recalled due to undeclared peanuts      
       
  
                        
             
Starting date:
November 25, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2016-11-25,Allergen - Peanut,Retail,Seoul Trading Corporation,"Alberta, British Columbia, Manitoba, Saskatchewan",Class 2
39,1699,https://recalls-rappels.canada.ca/en/alert-recall/amira-brand-deglet-nour-fresh-tunisian-dates-recalled-due-insect-infestation,Amira brand Deglet Nour Fresh Tunisian Dates recalled due to insect infestation,"Amira brand Deglet Nour Fresh Tunisian Dates recalled due to insect infestation      
       
  
                        
             
Starting date:
November 24, 2016
Type of communication:
Recall
Alert sub-type:
Notification…",2016-11-24,Extraneous Material,Retail,Les Entreprises Amira Inc.,Quebec,Class 3
40,1700,https://recalls-rappels.canada.ca/en/alert-recall/golden-buffalo-brand-pineapple-cake-and-green-tea-cake-recalled-due-undeclared-milk,Golden Buffalo brand Pineapple Cake and Green Tea Cake recalled due to undeclared milk and egg,"Golden Buffalo brand Pineapple Cake and Green Tea Cake recalled due to undeclared milk and egg      
       
  
                        
             
Starting date:
November 24, 2016
Type of communication:
Recall
Alert sub-type:…",2016-11-24,"Allergen - Egg, Allergen - Milk",Retail,"Evergrow Trading Inc., Green4U Products Ltd.","British Columbia, Ontario, Possibly National, Quebec",Class 1
41,1701,https://recalls-rappels.canada.ca/en/alert-recall/certain-sabra-brand-hummus-products-recalled-due-listeria-monocytogenes,Certain Sabra brand hummus products recalled due to Listeria monocytogenes,"Certain Sabra brand hummus products recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
November 19, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2016-11-19,Microbiological - Listeria,Retail,Sabra Canada Inc.,National,Class 1
42,1702,https://recalls-rappels.canada.ca/en/alert-recall/golden-buffalo-brand-soft-flour-cakes-recalled-due-undeclared-egg,Golden Buffalo brand Soft Flour Cakes recalled due to undeclared egg,"Golden Buffalo brand Soft Flour Cakes recalled due to undeclared egg      
       
  
                        
             
Starting date:
November 18, 2016
Type of communication:
Recall
Alert sub-type:
Updated Food Recall Warning…",2016-11-18,Allergen - Egg,Retail,"Evergrow Trading Inc., Green4U Products Ltd.","British Columbia, Ontario",Class 1
43,1703,https://recalls-rappels.canada.ca/en/alert-recall/qone-brand-korean-pancake-mix-black-sesame-recalled-due-undeclared-peanut,Q.One brand Korean Pancake Mix with Black Sesame recalled due to undeclared peanut,"Q.One brand Korean Pancake Mix with Black Sesame recalled due to undeclared peanut      
       
  
                        
             
Starting date:
November 16, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-11-16,Allergen - Peanut,Retail,Redfrog Enterprises Ltd.,British Columbia,Class 2
44,1704,https://recalls-rappels.canada.ca/en/alert-recall/nona-brand-alfredo-style-rich-creamy-vegan-sauces-recalled-due-pieces-metal,Nona brand Alfredo-Style - Rich + Creamy Vegan Sauces recalled due to pieces of metal,"Nona brand Alfredo-Style - Rich + Creamy Vegan Sauces recalled due to pieces of metal      
       
  
                        
             
Starting date:
November 16, 2016
Type of communication:
Recall
Alert sub-type:…",2016-11-16,Extraneous Material,Retail,NONA Vegan Foods Ltd.,Ontario,Class 3
45,1705,https://recalls-rappels.canada.ca/en/alert-recall/burton-meats-brand-beef-burgers-recalled-due-e-coli-o157h7,Burton Meats brand Beef Burgers recalled due to E. coli O157:H7,"Burton Meats brand Beef Burgers recalled due to E. coli O157:H7      
       
  
                        
             
Starting date:
November 15, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Hazard…",2016-11-15,Class 1,11023,Ontario,Hotel/Restaurant/Institutional,Canadian Food Inspection Agency
46,1706,https://recalls-rappels.canada.ca/en/alert-recall/intercity-packers-brand-ground-meat-products-recalled-due-e-coli-o157h7,Intercity Packers brand ground meat products recalled due to E. Coli O157:H7,"Intercity Packers brand ground meat products recalled due to E. Coli O157:H7      
       
  
                        
            
			
			
			
						
               	
						
	
	 
	
	Starting date:
			November 14, 2016…",2016-11-14,Class 1,11022,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Saskatchewan, Northwest Territories, Yukon",Hotel/Restaurant/Institutional,Canadian Food Inspection Agency
47,1707,https://recalls-rappels.canada.ca/en/alert-recall/bean-soup-and-spicy-pumpkin-chili-manufactured-hinty-s-recalled-due-potential-presence,Bean Soup and Spicy Pumpkin Chili manufactured by Hinty's recalled due to potential presence of dangerous bacteria,"Bean Soup and Spicy Pumpkin Chili manufactured by Hinty's recalled due to potential presence of dangerous bacteria      
       
  
                        
             
Starting date:
November 13, 2016
Type of communication…",2016-11-13,Microbiological - Clostridium botulinum,Retail,Hinty's,Ontario,Class 1
48,1708,https://recalls-rappels.canada.ca/en/alert-recall/intercity-packers-brand-ground-beef-products-recalled-due-e-coli-o157h7-0,Intercity Packers brand ground beef products recalled due to E. coli O157:H7,"Intercity Packers brand ground beef products recalled due to E. coli O157:H7      
       
  
                        
            
			
			
			
						
               	
						
	
	 
	
	Starting date:
			November 12, 2016…",2016-11-12,Class 1,11018,"Alberta, British Columbia, Manitoba, Saskatchewan, Northwest Territories",Hotel/Restaurant/Institutional,Canadian Food Inspection Agency
52,1709,https://recalls-rappels.canada.ca/en/alert-recall/queensland-beef-processing-co-pty-ltd-brand-beef-product-recalled-due-e-coli-o157h7,The Queensland Beef Processing Co. Pty Ltd. brand beef product recalled due to E. coli O157:H7,"The Queensland Beef Processing Co. Pty Ltd. brand beef product recalled due to E. coli O157:H7      
       
  
                        
            
			
			
			
						
               	
						
	
	 
	
	Starting date:
			November…",2016-11-12,Class 1,11020,"Alberta, Ontario",Hotel/Restaurant/Institutional,Canadian Food Inspection Agency
53,1710,https://recalls-rappels.canada.ca/en/alert-recall/dr-praeger-s-brand-organic-kale-quinoa-veggie-burgers-recalled-due-undeclared-egg,Dr. Praeger's brand Organic Kale & Quinoa Veggie Burgers recalled due to undeclared egg,"Dr. Praeger's brand Organic Kale & Quinoa Veggie Burgers recalled due to undeclared egg      
       
  
                        
             
Starting date:
November 11, 2016
Type of communication:
Recall
Alert sub-type…",2016-11-11,Allergen - Egg,Retail,Costco Wholesale Canada Ltd.,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Quebec",Class 1
57,1711,https://recalls-rappels.canada.ca/en/alert-recall/premium-quality-wah-brand-basmati-rice-recalled-due-insect-infestation,Premium Quality Wah brand Basmati Rice recalled due to insect infestation,"Premium Quality Wah brand Basmati Rice recalled due to insect infestation      
       
  
                        
             
Starting date:
November 10, 2016
Type of communication:
Recall
Alert sub-type:
Notification…",2016-11-10,Extraneous Material,Retail,Pak National Foods Ltd.,National,Class 3
58,1712,https://recalls-rappels.canada.ca/en/alert-recall/chocolate-luxe-chocolate-brand-milk-chocolate-roasted-almonds-raisins-and-cranberries,"Chocolate de Luxe Chocolate brand Milk Chocolate with Roasted Almonds, Raisins and Cranberries recalled due to undeclared wheat","Chocolate de Luxe Chocolate brand Milk Chocolate with Roasted Almonds, Raisins and Cranberries recalled due to undeclared wheat      
       
  
                        
             
Starting date:
November 10, 2016
Type of…",2016-11-10,Allergen - Wheat,Retail,Chocolat de Luxe Inc.,Ontario,Class 3
59,1714,https://recalls-rappels.canada.ca/en/alert-recall/ran-cher-acres-brand-goat-cheese-recalled-due-salmonella,Ran-Cher Acres brand Goat Cheese recalled due to Salmonella,"Ran-Cher Acres brand Goat Cheese recalled due to Salmonella      
       
  
                        
             
Starting date:
November 9, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning
Subcategory:…",2016-11-09,Microbiological - Salmonella,Retail,Ran-Cher Acres,Nova Scotia,Class 2
60,1715,https://recalls-rappels.canada.ca/en/alert-recall/sao-jorge-cheese-recalled-due-staphylococcus-aureus,Sao Jorge Cheese recalled due to Staphylococcus aureus,"Sao Jorge Cheese recalled due to Staphylococcus aureus      
       
  
                        
             
Starting date:
November 9, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Microbiological…",2016-11-09,Microbiological - Staphylococcus aureus,Retail,Bulk Cheese Warehouse Saskatoon,Saskatchewan,Class 2
61,1716,https://recalls-rappels.canada.ca/en/alert-recall/dole-brand-chop-chop-salade-kit-recalled-due-undeclared-mustard-egg-and-milk,"Dole brand Chop Chop Salade Kit recalled due to undeclared mustard, egg and milk","Dole brand Chop Chop Salade Kit recalled due to undeclared mustard, egg and milk      
       
  
                        
             
Starting date:
November 9, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-11-09,"Allergen - Egg, Allergen - Milk, Allergen - Mustard",Retail,Dole Fresh Vegetables Inc.,National,Class 3
62,1717,https://recalls-rappels.canada.ca/en/alert-recall/t-foods-brand-marinated-gherkins-recalled-due-undeclared-mustard,T & D Foods brand Marinated Gherkins recalled due to undeclared mustard,"T & D Foods brand Marinated Gherkins recalled due to undeclared mustard      
       
  
                        
             
Starting date:
November 9, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2016-11-09,Allergen - Mustard,Retail,Entreprise de Commerce Tsetso,"Alberta, Ontario, Quebec",Class 3
63,1718,https://recalls-rappels.canada.ca/en/alert-recall/black-bean-and-yam-chili-manufactured-hinty-s-recalled-due-potential-presence,Black Bean and Yam Chili manufactured by Hinty's recalled due to potential presence of dangerous bacteria,"Black Bean and Yam Chili manufactured by Hinty's recalled due to potential presence of dangerous bacteria      
       
  
                        
             
Starting date:
November 9, 2016
Type of communication:
Recall…",2016-11-09,Microbiological - Clostridium botulinum,Retail,Hinty's,Ontario,Class 1
64,1719,https://recalls-rappels.canada.ca/en/alert-recall/charcuterie-parisienne-brand-cured-meats-recalled-due-listeria-monocytogenes,Charcuterie Parisienne brand cured meats recalled due to Listeria monocytogenes,"Charcuterie Parisienne brand cured meats recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
November 8, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-11-08,Microbiological - Listeria,Retail,Charcuterie Parisienne Inc.,Quebec,Class 1
65,1720,https://recalls-rappels.canada.ca/en/alert-recall/adm-brand-baking-mixes-recalled-due-pieces-metal,ADM brand baking mixes recalled due to pieces of metal,"ADM brand baking mixes recalled due to pieces of metal      
       
  
                        
             
Starting date:
November 8, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Extraneous…",2016-11-08,Extraneous Material,Warehouse,ADM Milling Co.,"Alberta, British Columbia, Manitoba",Class 3
66,1721,https://recalls-rappels.canada.ca/en/alert-recall/cinnamon-rolls-recalled-due-pieces-metal,Cinnamon Rolls recalled due to pieces of metal,"Cinnamon Rolls recalled due to pieces of metal      
       
  
                        
             
Starting date:
November 8, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Extraneous Material…",2016-11-08,Extraneous Material,Warehouse,Baker Boys,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Class 3
67,1722,https://recalls-rappels.canada.ca/en/alert-recall/almond-cakes-recalled-due-undeclared-sesame-seeds,Almond Cakes recalled due to undeclared sesame seeds,"Almond Cakes recalled due to undeclared sesame seeds      
       
  
                        
             
Starting date:
November 8, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)
Subcategory:…",2016-11-08,Allergen - Sesame Seeds,Retail,Merilin Trading Co.,"Ontario, Quebec",Class 3
68,1723,https://recalls-rappels.canada.ca/en/alert-recall/original-brock-st-brewing-company-brand-blonde-beer-recalled-due-swelling-and-bursting,Original Brock St. Brewing Company brand Blonde Beer recalled due to swelling and bursting cans,"Original Brock St. Brewing Company brand Blonde Beer recalled due to swelling and bursting cans      
       
  
                        
             
Starting date:
November 7, 2016
Type of communication:
Recall
Alert sub-type:…",2016-11-07,Microbiological - Non harmful (Quality/Spoilage),Retail,Liquor Control Board Of Ontario,Ontario,Class 2
