,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
62,62,Temper Chocolate & Pastry brand Orange Dark Chocolate recalled due to undeclared milk,2023-04-06,Milk,Allergen,Class 2,Retail,British Columbia,Temper Chocolate & Pastry,Retail,Orange dark chocolate
63,63,Paradis Végétarien brand Veg-O-Mix Ham Flavour recalled due to undeclared egg,2023-04-06,Egg,Allergen,Class 2,Retail,"Quebec, Ontario,New Brunswick",Paradis Végétarien,Retail,Veg-o-mix ham flavour
64,64,Nelson’s Chocofellar brand 60% Dark Chocolate with Hazelnuts recalled due to undeclared milk,2023-04-01,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,British Columbia,Nelson’s Chocofellar,"Food - Candy, confectionary, snacks and sweeteners",60% dark chocolate with hazelnuts
65,65,"President's Choice brand Chopped Sesame Wonton Salad Kit recalled due to undeclared mustard, egg and milk",2023-04-01,Egg,Allergen,Class 2,Retail,"British Columbia, Alberta, Manitoba,Saskatchewan",President's Choice,Retail,Chopped sesame wonton salad kit
66,66,Komera Original brand Seasoned Hot Pepper Sauce recalled due to potential presence of dangerous bacteria,2023-03-30,Condiments,Condiments,,Class 1,"Alberta, Manitoba, Quebec,,May Have Been…",Komera Original,Food - Condiments,Seasoned hot pepper sauce
67,67,Solstice Ciderworks brand Haskap Cider recalled due to bursting cans,2023-03-29,Quality/Spoilage,Microbial contamination,Class 3,Retail,The Yukon,Solstice Ciderworks,Retail,Haskap cider
68,68,Various brands of Chicken Soup Products recalled due to swollen containers,2023-03-29,Other,Microbial contamination,Class 3,Retail,Nationally,Various,Retail,Of chicken soup products
69,69,Certain Wonton King brand Wontons recalled due to undeclared egg,2023-03-28,Multiple food items,Multiple food items,,Class 1,Nationally,Certain Wonton King,Food - Multiple food items,Wontons
70,70,Liesse Chocolatier brand Vegan Chocolate Bunnies recalled due to undeclared milk,2023-03-28,Milk,Allergen,Class 2,Retail,"Alberta, British Columbia, Ontario, Quebec, Prince Edward Isl, New Brunswick, Saskatchewan, Nova Scotia,Manitoba",Liesse Chocolatier,Retail,Vegan chocolate bunnies
71,71,Green Sun brand Dark Chocolate Covered Pineapple recalled due to undeclared milk,2023-03-24,Milk,Allergen,Class 2,Retail,"Quebec, Ontario, Alberta,British Columbia",Green Sun,Retail,Dark chocolate covered pineapple
72,72,China Lily brand Soya Sauce recalled due to leaking and bulging bottles,2023-03-23,Other,Other,Class 3,Retail,"Alberta, Saskatchewan,Manitoba",China Lily,Retail,Soya sauce
74,74,Nuba brand Carob (drink) recalled due to potential presence of dangerous bacteria,2023-03-22,Non-alcoholic,Beverages,,Class 1,Nationally,Nuba,Food - Beverages - Non-alcoholic,Carob (drink)
75,75,Frozen Pre-Fried Tempura Shrimp recalled due to undeclared egg,2023-03-21,Processed,Fish and seafood,,Class 1,British Columbia,,Food - Fish and seafood - Processed,To undeclared egg
76,76,Nestlé Good Start - Soothe (infant formula) recalled due to possible presence of Cronobacter sakazakii,2023-03-18,Infant products,Infant products,,Class 2,Nationally,,Food - Infant products,To possible presence of cronobacter sakazakii
77,77,Fresh Pork Breakfast Sausage recalled due to undeclared mustard,2023-03-17,Processed,Meat and poultry,,Class 2,Ontario,,Food - Meat and poultry - Processed,To undeclared mustard
78,78,"Fisherman's Wharf Dim Sum brand products recalled due to undeclared egg, gluten and wheat",2023-03-10,Multiple food items,Multiple food items,,Class 1,British Columbia,Fisherman's Wharf Dim Sum,Food - Multiple food items,Products
79,79,Salento Organics brand Dark Chocolate Products recalled due to undeclared milk,2023-03-10,Milk,Allergen,Class 2,Retail,Ontario,Salento Organics,Retail,Dark chocolate products
80,80,The Chocolate Lab brand Signature Chocolate Almonds recalled due to undeclared milk,2023-03-09,Milk,Allergen,Class 2,Retail,Alberta,The Chocolate Lab,Retail,Signature chocolate almonds
81,81,Da Zhan Ltd. brand Fish Products recalled due to undeclared egg and soy,2023-03-03,Egg,Allergen,Class 2,Retail,British Columbia,Da Zhan Ltd.,Retail,Fish products
82,82,Various Global Choice brand Falooda Drink products recalled due to improperly declared milk,2023-03-01,Milk,Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Prince Edward Isl, Ontario, Quebec,,Saskatchewan",Various Global Choice,Retail,Falooda drink products
83,83,Various Salento Organics brand dark chocolate products recalled due to undeclared milk,2023-02-25,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Ontario,Various Salento Organics,"Food - Candy, confectionary, snacks and sweeteners",Dark chocolate products
84,84,Deep Recipes of South India brand Sambhar Soup recalled due to undeclared milk,2023-02-25,Milk,Allergen,Class 2,Retail,Nationally,Deep Recipes of South India,Retail,Sambhar soup
85,85,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,2023-02-24,E. coli,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,"British Columbia, Alberta, Manitoba, Ontario,Quebec",Mother Dairy,"Hotels, restaurants and institutions",Paneer fresh cheese
86,86,Maple Dale Cheese Co. brand cheese products recalled due to Listeria monocytogenes,2023-02-24,Listeria monocytogenes,Microbial contamination,Class 1,Hotel/Restaurant/Institutional,"Alberta,Ontario",Maple Dale Cheese Co.,"Hotels, restaurants and institutions",Cheese products
87,87,1001 Fondues brand La Fondue au Village à la Bière recalled due to Listeria monocytogenes,2023-02-22,Listeria monocytogenes,Microbial contamination,Class 1,Retail,Quebec,1001 Fondues,Retail,La fondue au village à la bière
88,88,Certain Chocolate Chip Cookies recalled due to undeclared milk,2023-02-22,Milk,Allergen,Class 3,Retail,British Columbia,,Retail,To undeclared milk
89,89,Sherbon brand Falooda Drinks recalled due to undeclared milk,2023-02-21,Non-alcoholic,Beverages,,Class 1,"Alberta, Ontario,,Quebec",Sherbon,Food - Beverages - Non-alcoholic,Falooda drinks
90,90,Deena brand Falooda Drinks recalled due to undeclared milk,2023-02-21,Non-alcoholic,Beverages,,Class 1,Ontario,Deena,Food - Beverages - Non-alcoholic,Falooda drinks
91,91,1001 Fondues brand La Fondue au Village recalled due to Listeria monocytogenes,2023-02-21,Listeria monocytogenes,Microbial contamination,Class 1,General public,The Food Recall Warning Issued On 2023-02-18 Has Been Updated To Include Additional Product Information The Product Is Marked By An Asterisk (*) This Additional Information Was Identified During The Canadian Food Inspection Agency'S Food Safety…,1001 Fondues,1001 Fondues brand cheese fondues recalled due to Listeria monocytogenes,La fondue au village
92,92,Maple Dale Cheese Co. brand 1 year old Cheddar recalled due to Listeria monocytogenes,2023-02-18,Dairy,Dairy,,Class 1,Ontario,Maple Dale Cheese Co.,Food - Dairy,1 year old cheddar
93,93,1001 Fondues brand cheese fondues recalled due to Listeria monocytogenes,2023-02-18,Dairy,Dairy,,Class 1,"Quebec, Ontario, British Columbia, Alberta,Nova Scotia",1001 Fondues,Food - Dairy,Cheese fondues
94,94,Louis Latour brand Pinot Noir recalled due to possible presence of glass,2023-02-18,Alcoholic,Beverages,,Class 1,Ontario,Louis Latour,Food - Beverages - Alcoholic,Pinot noir
95,95,Jahaan's brand Falooda Drinks recalled due to improperly declared milk,2023-02-16,Milk,Allergen,Class 2,Retail,"Alberta,British Columbia",Jahaan's,Retail,Falooda drinks
96,96,PC brand Canadian Cheddar Cheese recalled due to Listeria monocytogenes,2023-02-15,Dairy,Dairy,,Class 1,Nationally,PC,Food - Dairy,Canadian cheddar cheese
97,97,Shirakiku brand Chili Pepper Powder (Ichimi Togarashi) recalled due to undeclared sesame,2023-02-15,Sesame ,Allergen,Class 2,Retail,Nationally,Shirakiku,Retail,Chili pepper powder (ichimi togarashi)
98,98,Le Fromage au Village and FreshFun Fantastic brand cheese products recalled due to Listeria monocytogenes,2023-02-14,Dairy,Dairy,,Class 1,Nationally,Le Fromage au Village and FreshFun Fantastic,Food - Dairy,Cheese products
99,99,Le Fromage au Village brand Le Cru du Clocher raw milk cheddar cheese recalled due to Listeria monocytogenes,2023-02-12,Dairy,Dairy,,Class 1,"The Food Recall Warning Issued On 2023-02-11 Has Been Amended To Correctly Identify The Affected Products The Corrections For These Products Are Marked By An Asterisk (*)
The Affected Products Are Being Recalled From The Marketplace Due To Possible…",Le Fromage au Village,Food - Dairy,Le cru du clocher raw milk cheddar cheese
100,100,"MacMillan's Specialty Foods brand McCain 3/8"" Staycrisp Straight Cut Fries recalled due to undeclared gluten and wheat",2023-02-11,Frozen,Fruits and vegetables,,Class 1,Ontario,MacMillan's Specialty Foods,Food - Fruits and vegetables - Frozen,"Mccain 3/8"" staycrisp straight cut fries"
101,101,Sherbon brand Falooda Drink – Mango recalled due to undeclared milk,2023-02-09,Non-alcoholic,Beverages,,Class 1,"Alberta, Ontario,,Quebec",Sherbon,Food - Beverages - Non-alcoholic,Falooda drink – mango
102,102,Nutrifresh brand Falooda Drinks recalled due to undeclared milk,2023-02-04,Non-alcoholic,Beverages,,Class 1,"Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince…",Nutrifresh,Food - Beverages - Non-alcoholic,Falooda drinks
103,103,"Apetito HFS brand and Heart to Home Meals brand meatball products recalled due to undeclared egg, milk, and wheat",2023-02-03,Multiple food items,Multiple food items,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, New…",Apetito HFS,Food - Multiple food items,And heart to home meals brand meatball products
104,104,Cedar Phoenicia brand Pindjur Vegetable Spread recalled due to pieces of glass,2023-02-01,Extraneous Material,Extraneous Material,Class 2,Retail,"Alberta, British Columbia, Nova Scotia, Prince Edward Isl, Ontario,,Quebec",Cedar Phoenicia,Retail,Pindjur vegetable spread
105,105,Tohato brand Potato Ring Seaweed Flavor Snack recalled due to undeclared milk,2023-01-27,Milk,Allergen,Class 2,Retail,British Columbia,Tohato,Retail,Potato ring seaweed flavor snack
106,106,Dubon brand Mixed Forest Mushrooms recalled due to insects and mold,2023-01-20,Extraneous Material,Extraneous Material,Class 3,Retail,Quebec,Dubon,Retail,Mixed forest mushrooms
107,107,Surface-ripened soft and semi-soft cheeses recalled due to Listeria monocytogenes,2023-01-19,Dairy,Dairy,,Class 1,Nationally,,Food - Dairy,To listeria monocytogenes
108,108,Fresh Prep brand Nutty Kale Salad with Goat Cheese and Creamy Maple Dressing recalled due to undeclared sesame,2023-01-19,Fresh,Fruits and vegetables,,Class 2,Online,Fresh Prep,Food - Fruits and vegetables - Fresh,Nutty kale salad with goat cheese and creamy maple dressing
109,109,Summer Fresh brand and Compliments Naturally Simple brand hummus recalled due to pieces of plastic,2023-01-18,Extraneous Material,Extraneous Material,Class 2,Retail,"Alberta, British Columbia, Ontario,Nova Scotia",Summer Fresh,Retail,And compliments naturally simple brand hummus
110,110,La Vache à Maillotte brand Mélo-Dieux – Surface-ripened soft cheese recalled due to Listeria monocytogenes,2023-01-16,Dairy,Dairy,,Class 1,Nationally,La Vache à Maillotte,Food - Dairy,Mélo-dieux – surface-ripened soft cheese
111,111,Le Cendré de Notre-Dame brand Semi-soft Surface-ripened Cheese recalled due to Listeria monocytogenes,2023-01-14,Dairy,Dairy,,Class 1,Nationally,Le Cendré de Notre-Dame,Food - Dairy,Semi-soft surface-ripened cheese
112,112,Punjab King brand Pure Honey recalled due to presence of metronidazole,2023-01-13,Contamination,Chemical,Class 3,Retail,"Ontario,Quebec",Punjab King,Retail,Pure honey
113,113,St-Hubert and Cavalier brand Chicken Breast Nuggets recalled due to pieces of wood,2023-01-13,Extraneous Material,Extraneous Material,Class 2,Retail,"Ontario, Quebec,New Brunswick",St-Hubert and Cavalier,Retail,Chicken breast nuggets
114,114,Kirkland Signature brand Four Cheese and Spinach Manicotti Marinara recalled due to pieces of metal,2023-01-12,Extraneous Material,Extraneous Material,Class 2,Retail,Nationally,Kirkland Signature,Retail,Four cheese and spinach manicotti marinara
115,115,Tohato brand Potato Ring Salty Snack Products recalled due to undeclared milk,2023-01-07,Other,Other,,Class 1,British Columbia,Tohato,Food - Other,Potato ring salty snack products
117,117,Sanders brand Dark Chocolate Sea Salt Caramels recalled due to pieces of plastic,2022-12-30,Extraneous Material,Extraneous Material,Class 3,Retail,"Ontario, Quebec, New Brunswick, Nova Scotia,Newfoundl,Labrador",Sanders,Retail,Dark chocolate sea salt caramels
118,118,Igor brand Gorgonzola mild ripened blue-veined cheese recalled due to Listeria monocytogenes,2022-12-27,Listeria monocytogenes,Microbial contamination,Class 1,General public,Nationally,Igor,Igor brand Gorgonzola Dolce recalled due to Listeria monocytogenes,Gorgonzola mild ripened blue-veined cheese
119,119,Certain alpha brand Plant-based Breakfast Sandwiches and Burritos recalled due to undeclared milk,2022-12-24,Milk,Allergen,,General public,Nationally,Certain alpha,alpha brand Plant-based Breakfast Sandwich – Meatless Sausage recalled due to undeclared milk,Plant-based breakfast sandwiches and burritos
120,120,The Chocolate Lab brand Chocolate Coffee Beans recalled due to undeclared milk,2022-12-24,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"Alberta,Ontario",The Chocolate Lab,"Food - Candy, confectionary, snacks and sweeteners",Chocolate coffee beans
121,121,Feast by Circles & Squares brand sandwiches recalled due to undeclared egg,2022-12-23,Eggs,Eggs,,Class 2,Ontario,Feast by Circles & Squares,Food - Eggs,Sandwiches
